Treatment,Ci,A,x
wt,73.29610499,-0.012118377,0.06769243
wt,116.5192472,1.767881919,0.13724067
wt,147.2805153,2.779511006,0.18073562
wt,184.4393713,4.480535416,0.22776373
wt,235.5317837,5.727014018,0.28425554
wt,286.7864544,7.199070849,0.33318997
mutant,76.13961283,-0.976707083,0.07261053
mutant,154.9593299,-0.279311041,0.1909176
mutant,201.5149841,-0.179819371,0.24761051
mutant,255.0526132,0.280198691,0.30371646
mutant,323.1419379,0.586069519,0.364031
mutant,386.6161684,0.997026075,0.41154965
